   arc_length_s     gamma_x(s)       gamma_y(s)    gamma_z(s)
0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+01
4.000000e-01 4.000000e-01 0.000000e+00 5.000000e+01
8.000000e-01 7.999200e-01 7.999466e-03 5.000000e+01
1.200000e+00 1.199600e+00 2.399520e-02 5.000000e+01
1.600000e+00 1.598880e+00 4.798080e-02 5.000000e+01
2.000000e+00 1.997601e+00 7.994668e-02 5.000000e+01
2.399999e+00 2.395602e+00 1.198800e-01 5.000000e+01
2.800000e+00 2.792726e+00 1.677649e-01 5.000000e+01
3.200000e+00 3.188812e+00 2.235822e-01 5.000000e+01
3.600001e+00 3.583704e+00 2.873094e-01 5.000000e+01
3.999999e+00 3.977240e+00 3.589212e-01 5.000000e+01
4.400000e+00 4.369268e+00 4.383890e-01 5.000000e+01
4.800000e+00 4.759626e+00 5.256808e-01 5.000000e+01
5.200000e+00 5.148162e+00 6.207620e-01 5.000000e+01
5.600000e+00 5.534718e+00 7.235942e-01 5.000000e+01
6.000000e+00 5.919140e+00 8.341364e-01 5.000000e+01
6.400000e+00 6.301274e+00 9.523444e-01 5.000000e+01
6.799999e+00 6.680968e+00 1.078171e+00 5.000000e+01
7.200000e+00 7.058070e+00 1.211566e+00 5.000000e+01
7.600001e+00 7.432430e+00 1.352476e+00 5.000000e+01
8.000001e+00 7.803896e+00 1.500844e+00 5.000000e+01
8.400001e+00 8.172320e+00 1.656611e+00 5.000000e+01
8.800001e+00 8.537556e+00 1.819715e+00 5.000000e+01
9.200000e+00 8.899456e+00 1.990091e+00 5.000000e+01
9.599999e+00 9.257876e+00 2.167670e+00 5.000000e+01
9.999999e+00 9.612674e+00 2.352382e+00 5.000000e+01
1.040000e+01 9.963708e+00 2.544152e+00 5.000000e+01
1.080000e+01 1.031084e+01 2.742904e+00 5.000000e+01
1.120000e+01 1.065392e+01 2.948558e+00 5.000000e+01
1.160000e+01 1.099282e+01 3.161034e+00 5.000000e+01
1.200000e+01 1.132741e+01 3.380242e+00 5.000000e+01
1.240000e+01 1.165754e+01 3.606100e+00 5.000000e+01
1.280000e+01 1.198309e+01 3.838514e+00 5.000000e+01
1.320000e+01 1.230393e+01 4.077392e+00 5.000000e+01
1.360000e+01 1.261993e+01 4.322638e+00 5.000000e+01
1.400000e+01 1.293096e+01 4.574156e+00 5.000000e+01
1.440000e+01 1.323689e+01 4.831844e+00 5.000000e+01
1.480000e+01 1.353761e+01 5.095596e+00 5.000000e+01
1.520000e+01 1.383300e+01 5.365312e+00 5.000000e+01
1.560000e+01 1.412294e+01 5.640880e+00 5.000000e+01
1.600000e+01 1.440730e+01 5.922192e+00 5.000000e+01
1.640000e+01 1.468598e+01 6.209134e+00 5.000000e+01
1.680000e+01 1.495887e+01 6.501594e+00 5.000000e+01
1.720000e+01 1.522586e+01 6.799450e+00 5.000000e+01
1.760000e+01 1.548683e+01 7.102588e+00 5.000000e+01
1.800000e+01 1.574169e+01 7.410882e+00 5.000000e+01
1.840000e+01 1.599034e+01 7.724214e+00 5.000000e+01
1.880000e+01 1.623267e+01 8.042454e+00 5.000000e+01
1.920000e+01 1.646858e+01 8.365478e+00 5.000000e+01
