   arc_length_s    gamma_x(s)      gamma_y(s)      gamma_z(s)
0.000000e+00 -2.060828e+01 4.014758e+01 2.606630e-02
1.659049e+00 -2.220014e+01 4.049118e+01 3.428697e-01
3.400246e+00 -2.378046e+01 4.077066e+01 1.018331e+00
5.288087e+00 -2.534672e+01 4.098604e+01 2.050020e+00
7.371435e+00 -2.689636e+01 4.113750e+01 3.434222e+00
9.684246e+00 -2.842688e+01 4.122522e+01 5.165958e+00
1.224839e+01 -2.993578e+01 4.124958e+01 7.238993e+00
1.507668e+01 -3.142060e+01 4.121102e+01 9.645868e+00
1.817521e+01 -3.287888e+01 4.111004e+01 1.237792e+01
2.154510e+01 -3.430822e+01 4.094730e+01 1.542532e+01
2.518363e+01 -3.570624e+01 4.072352e+01 1.877709e+01
2.908512e+01 -3.707064e+01 4.043956e+01 2.242118e+01
3.324142e+01 -3.839910e+01 4.009630e+01 2.634447e+01
3.764238e+01 -3.968938e+01 3.969478e+01 3.053284e+01
4.227617e+01 -4.093932e+01 3.923610e+01 3.497122e+01
4.712944e+01 -4.214678e+01 3.872146e+01 3.964363e+01
5.218758e+01 -4.330968e+01 3.815214e+01 4.453325e+01
5.743490e+01 -4.442602e+01 3.752952e+01 4.962250e+01
6.285467e+01 -4.549384e+01 3.685502e+01 5.489305e+01
6.842933e+01 -4.651128e+01 3.613018e+01 6.032594e+01
7.414057e+01 -4.747652e+01 3.535662e+01 6.590162e+01
7.996943e+01 -4.838784e+01 3.453600e+01 7.160001e+01
8.589640e+01 -4.924360e+01 3.367008e+01 7.740060e+01
9.190156e+01 -5.004218e+01 3.276070e+01 8.328254e+01
9.796460e+01 -5.078216e+01 3.180970e+01 8.922463e+01
1.040650e+02 -5.146208e+01 3.081906e+01 9.520551e+01
1.101819e+02 -5.208064e+01 2.979080e+01 1.012036e+02
1.162947e+02 -5.263662e+01 2.872694e+01 1.071974e+02
1.223826e+02 -5.312888e+01 2.762962e+01 1.131653e+02
1.284250e+02 -5.355636e+01 2.650102e+01 1.190859e+02
1.344011e+02 -5.391816e+01 2.534330e+01 1.249377e+02
1.402911e+02 -5.421338e+01 2.415876e+01 1.306998e+02
1.460751e+02 -5.444130e+01 2.294964e+01 1.363514e+02
1.517337e+02 -5.460128e+01 2.171830e+01 1.418721e+02
1.572484e+02 -5.469274e+01 2.046706e+01 1.472422e+02
1.626011e+02 -5.471524e+01 1.919830e+01 1.524423e+02
1.677745e+02 -5.466846e+01 1.791444e+01 1.574536e+02
1.727522e+02 -5.455212e+01 1.661787e+01 1.622581e+02
1.775191e+02 -5.436612e+01 1.531103e+01 1.668386e+02
1.820610e+02 -5.411042e+01 1.399637e+01 1.711785e+02
1.863652e+02 -5.378506e+01 1.267631e+01 1.752623e+02
1.904203e+02 -5.339026e+01 1.135332e+01 1.790752e+02
1.942171e+02 -5.292628e+01 1.002984e+01 1.826035e+02
1.977485e+02 -5.239352e+01 8.708292e+00 1.858346e+02
2.010096e+02 -5.179244e+01 7.391124e+00 1.887567e+02
2.039993e+02 -5.112366e+01 6.080740e+00 1.913594e+02
2.067206e+02 -5.038786e+01 4.779538e+00 1.936333e+02
2.091818e+02 -4.958586e+01 3.489890e+00 1.955702e+02
2.113994e+02 -4.871852e+01 2.214146e+00 1.971632e+02
2.133994e+02 -4.778686e+01 9.546210e-01 1.984065e+02
2.152216e+02 -4.679196e+01 -2.864016e-01 1.992956e+02
2.169213e+02 -4.573502e+01 -1.506676e+00 1.998274e+02
2.185684e+02 -4.461730e+01 -2.703998e+00 1.999999e+02
2.202401e+02 -4.344020e+01 -3.876208e+00 1.998125e+02
2.220107e+02 -4.220518e+01 -5.021194e+00 1.992659e+02
2.239419e+02 -4.091380e+01 -6.136900e+00 1.983621e+02
2.260797e+02 -3.956768e+01 -7.221320e+00 1.971042e+02
2.284558e+02 -3.816854e+01 -8.272510e+00 1.954969e+02
2.310906e+02 -3.671820e+01 -9.288586e+00 1.935459e+02
2.339960e+02 -3.521854e+01 -1.026773e+01 1.912582e+02
2.371775e+02 -3.367150e+01 -1.120819e+01 1.886421e+02
2.406359e+02 -3.207912e+01 -1.210829e+01 1.857070e+02
2.443685e+02 -3.044350e+01 -1.296643e+01 1.824635e+02
2.483697e+02 -2.876678e+01 -1.378106e+01 1.789231e+02
2.526313e+02 -2.705122e+01 -1.455075e+01 1.750987e+02
2.571434e+02 -2.529910e+01 -1.527412e+01 1.710041e+02
2.618944e+02 -2.351272e+01 -1.594989e+01 1.666539e+02
2.668711e+02 -2.169452e+01 -1.657685e+01 1.620638e+02
2.720592e+02 -1.984693e+01 -1.715388e+01 1.572503e+02
2.774430e+02 -1.797242e+01 -1.767998e+01 1.522309e+02
2.830062e+02 -1.607353e+01 -1.815419e+01 1.470234e+02
2.887312e+02 -1.415283e+01 -1.857569e+01 1.416467e+02
2.945999e+02 -1.221291e+01 -1.894371e+01 1.361201e+02
3.005934e+02 -1.025640e+01 -1.925762e+01 1.304636e+02
3.066925e+02 -8.285956e+00 -1.951685e+01 1.246974e+02
3.128773e+02 -6.304246e+00 -1.972094e+01 1.188423e+02
3.191274e+02 -4.313968e+00 -1.986954e+01 1.129194e+02
3.254224e+02 -2.317824e+00 -1.996238e+01 1.069500e+02
3.317415e+02 -3.185288e-01 -1.999929e+01 1.009556e+02
3.380640e+02 1.681200e+00 -1.998021e+01 9.495773e+01
3.443689e+02 3.678642e+00 -1.990517e+01 8.897803e+01
3.506356e+02 5.671084e+00 -1.977432e+01 8.303800e+01
3.568433e+02 7.655814e+00 -1.958786e+01 7.715901e+01
3.629719e+02 9.630140e+00 -1.934615e+01 7.136223e+01
3.690012e+02 1.159138e+01 -1.904960e+01 6.566851e+01
3.749118e+02 1.353687e+01 -1.869875e+01 6.009834e+01
3.806846e+02 1.546398e+01 -1.829421e+01 5.467178e+01
3.863012e+02 1.737009e+01 -1.783670e+01 4.940836e+01
3.917439e+02 1.925264e+01 -1.732704e+01 4.432700e+01
3.969961e+02 2.110908e+01 -1.676612e+01 3.944601e+01
4.020418e+02 2.293692e+01 -1.615494e+01 3.478295e+01
4.068661e+02 2.473368e+01 -1.549460e+01 3.035460e+01
4.114557e+02 2.649698e+01 -1.478626e+01 2.617690e+01
4.157983e+02 2.822444e+01 -1.403118e+01 2.226488e+01
4.198834e+02 2.991376e+01 -1.323071e+01 1.863263e+01
4.237023e+02 3.156272e+01 -1.238627e+01 1.529321e+01
4.272485e+02 3.316910e+01 -1.149936e+01 1.225864e+01
4.305183e+02 3.473080e+01 -1.057158e+01 9.539843e+00
4.335112e+02 3.624578e+01 -9.604566e+00 7.146608e+00
4.362313e+02 3.771204e+01 -8.600060e+00 5.087545e+00
4.386881e+02 3.912768e+01 -7.559854e+00 3.370064e+00
4.408990e+02 4.049088e+01 -6.485810e+00 2.000346e+00
4.428917e+02 4.179988e+01 -5.379856e+00 9.833219e-01
4.447075e+02 4.305302e+01 -4.243976e+00 3.226505e-01
4.464031e+02 4.424874e+01 -3.080210e+00 2.070999e-02
4.480495e+02 4.538552e+01 -1.890655e+00 7.858692e-02
4.497243e+02 4.646196e+01 -6.774544e-01 4.960730e-01
4.515008e+02 4.747676e+01 5.572012e-01 1.271666e+00
4.534391e+02 4.842868e+01 1.811079e+00 2.402574e+00
4.555840e+02 4.931662e+01 3.081906e+00 3.884728e+00
4.579654e+02 5.013954e+01 4.367378e+00 5.712792e+00
4.606026e+02 5.089652e+01 5.665156e+00 7.880189e+00
4.635063e+02 5.158674e+01 6.972874e+00 1.037912e+01
4.666809e+02 5.220944e+01 8.288144e+00 1.320058e+01
4.701265e+02 5.276402e+01 9.608556e+00 1.633444e+01
4.738394e+02 5.324996e+01 1.093169e+01 1.976939e+01
4.778132e+02 5.366684e+01 1.225510e+01 2.349309e+01
4.820392e+02 5.401434e+01 1.357636e+01 2.749214e+01
4.865067e+02 5.429224e+01 1.489301e+01 3.175213e+01
4.912034e+02 5.450044e+01 1.620260e+01 3.625774e+01
4.961156e+02 5.463896e+01 1.750270e+01 4.099276e+01
5.012284e+02 5.470788e+01 1.879088e+01 4.594013e+01
5.065258e+02 5.470742e+01 2.006470e+01 5.108207e+01
5.119907e+02 5.463786e+01 2.132178e+01 5.640005e+01
5.176056e+02 5.449966e+01 2.255972e+01 6.187495e+01
5.233517e+02 5.429332e+01 2.377616e+01 6.748706e+01
5.292100e+02 5.401946e+01 2.496880e+01 7.321618e+01
5.351609e+02 5.367878e+01 2.613530e+01 7.904169e+01
5.411844e+02 5.327212e+01 2.727342e+01 8.494263e+01
5.472600e+02 5.280038e+01 2.838094e+01 9.089776e+01
5.533671e+02 5.226458e+01 2.945568e+01 9.688565e+01
5.594850e+02 5.166582e+01 3.049552e+01 1.028847e+02
5.655930e+02 5.100530e+01 3.149836e+01 1.088735e+02
5.716701e+02 5.028432e+01 3.246220e+01 1.148302e+02
5.776959e+02 4.950424e+01 3.338504e+01 1.207336e+02
5.836499e+02 4.866654e+01 3.426502e+01 1.265624e+02
5.895122e+02 4.777274e+01 3.510024e+01 1.322956e+02
5.952630e+02 4.682448e+01 3.588898e+01 1.379126e+02
6.008832e+02 4.582348e+01 3.662952e+01 1.433931e+02
6.063543e+02 4.477152e+01 3.732022e+01 1.487175e+02
6.116584e+02 4.367042e+01 3.795954e+01 1.538665e+02
6.167785e+02 4.252214e+01 3.854600e+01 1.588216e+02
6.216987e+02 4.132866e+01 3.907820e+01 1.635651e+02
6.264039e+02 4.009202e+01 3.955482e+01 1.680798e+02
6.308804e+02 3.881434e+01 3.997468e+01 1.723495e+02
6.351158e+02 3.749780e+01 4.033660e+01 1.763588e+02
6.390995e+02 3.614460e+01 4.063956e+01 1.800933e+02
6.428225e+02 3.475704e+01 4.088260e+01 1.835395e+02
6.462784e+02 3.333742e+01 4.106488e+01 1.866851e+02
6.494634e+02 3.188810e+01 4.118560e+01 1.895187e+02
6.523774e+02 3.041148e+01 4.124410e+01 1.920302e+02
6.550246e+02 2.890998e+01 4.123984e+01 1.942104e+02
6.574156e+02 2.738608e+01 4.117234e+01 1.960516e+02
6.595690e+02 2.584226e+01 4.104122e+01 1.975471e+02
